,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
882,4336016023,0,0,0,0,0,2253100,875562,0,0,0,0,0,0,2013,0,0,0,0,0,2012,2012,4004,2400,0,0,1,0,0,0.0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
883,4339004013,0,1,1,0,0,95600,64243,0,0,0,0,0,0,2015,0,0,0,0,0,1927,1927,7720,1629,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
884,4337012048,0,0,1,1,0,928000,687270,0,0,0,0,0,0,2016,0,0,0,0,0,1926,1926,5973,1848,0,0,2,0,0,0.0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
885,4337015044,0,0,0,0,0,1122000,816015,0,0,0,0,0,0,2015,0,0,0,0,0,1927,1927,5044,1780,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
886,4337012011,0,0,1,0,0,2305400,1536993,0,0,0,0,0,0,2012,0,0,0,0,0,1926,1926,5388,1428,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
887,4336003016,0,0,0,0,0,2300000,1300420,0,0,0,0,0,0,2014,0,0,0,0,0,1997,1997,4577,2391,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
888,4336003021,1,0,0,0,0,2286000,1324052,0,0,0,0,0,0,2009,0,0,0,0,0,2008,2008,5072,2579,0,0,1,0,0,0.0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
889,4336013029,0,0,0,0,0,2422500,1530021,0,0,0,0,0,0,2014,0,0,0,0,0,1937,1937,3962,1802,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
890,4337020004,0,1,1,1,0,1312000,768563,0,0,0,0,0,0,2015,0,0,0,0,0,1946,1946,4853,936,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
891,4336003026,0,0,0,0,0,2510300,1757457,0,0,0,0,0,0,2013,0,0,0,0,0,2012,2012,5020,2946,0,0,1,0,0,0.0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
