,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
48,5547031009,0,0,0,0,1,391316,229881,161435,0,1,7000,41,4740,2001,0,300500,0,0,0,1916,1933,4940,1066,0,1,0,1,1,1.0,1,1,2,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
49,5543003009,0,0,0,0,1,550549,342933,207616,0,0,0,38,6698,2017,0,623000,1,500000,1,1917,1935,6789,1880,1,1,1,1,1,1.0,1,1,4,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
50,5540025005,0,0,0,0,1,279847,219666,60181,0,1,7000,22,3407,2014,0,0,1,825000,1,1919,1935,7265,1524,1,1,1,1,1,1.0,1,1,3,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,5538009027,0,0,0,0,1,271745,173948,97797,0,1,7000,36,3313,2006,0,0,1,350000,1,1938,1960,5148,2008,1,1,0,0,0,1.0,1,1,4,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
52,5538002003,1,0,0,0,0,174208,42637,131571,0,1,7000,76,2179,2006,0,0,0,0,0,1939,1962,5159,2680,1,1,0,1,1,1.0,1,1,3,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
53,5551015028,0,0,0,0,1,861211,520380,340831,0,0,0,40,10564,2016,0,2200000,1,1760000,1,1920,1920,8100,2546,1,1,1,1,1,2.0,1,1,3,3,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
54,5550005015,1,0,0,0,0,402930,85217,317713,0,1,7000,79,4988,1999,0,0,0,0,0,1921,1939,6139,3172,1,1,0,0,0,2.0,1,1,6,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
55,5551020004,0,0,0,0,1,1213103,732535,480568,0,1,7000,40,14678,2001,0,850000,1,765000,1,1922,1922,8100,3287,1,1,0,0,0,2.0,1,1,5,4,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
56,5551029012,0,0,0,0,1,3036186,2071069,965117,0,0,0,32,36549,2014,0,2932000,1,1932000,1,1919,1940,9185,2752,1,1,0,0,0,2.0,1,1,3,3,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
57,5551022018,1,0,0,0,1,1472496,832078,640418,0,0,0,43,17817,2003,0,1079000,1,750000,1,1923,1940,8112,2438,1,1,0,0,0,1.0,1,1,4,3,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
58,5551029011,1,0,0,0,0,539370,322351,217019,0,1,7000,40,6681,2006,0,0,0,0,0,1932,1943,8374,2578,1,1,0,1,1,2.0,1,1,3,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
