,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,Prediction,Actual
0,5505008010,1,0,0,0,0,3491436,2450134,1041302,0,0,0,0,42440,2003,0,2850000,1,1000000,1,1928,1928,16631,6848,0,0,1,0,0,0.0,0,0,5,6,0,0,0,0,0,0,0,0,0,,
1,5515029015,1,0,0,0,0,3122716,2402093,720623,0,0,0,0,37655,2005,0,2600020,1,1810000,1,1921,1921,11847,3914,0,0,1,0,0,0.0,0,0,5,4,0,0,0,0,0,0,0,0,0,1.0,0.0
2,5522008053,0,0,0,0,0,790127,548843,241284,0,0,0,0,9569,2015,0,763000,1,610390,1,2014,2014,1256,1520,0,0,1,0,0,0.0,0,0,2,3,0,0,0,0,0,0,0,0,1,,
3,5522008048,0,0,0,0,0,767344,533310,234034,0,0,0,0,9296,2015,0,741000,1,592630,1,2014,2014,1001,1520,0,0,1,0,0,0.0,0,0,2,3,0,0,0,0,0,0,0,0,1,1.0,1.0
4,5516014005,1,0,0,0,0,83813,43702,40111,0,0,0,0,1235,1973,0,41500,0,0,0,1919,1919,5626,2389,0,0,1,0,0,0.0,0,0,4,5,0,0,0,0,0,0,0,0,0,,
