,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,Prediction,Actual
22,5588001005,0,0,1,0,0,220111,88410,131701,0,0,0,0,2855,1967,0,0,0,0,0,1931,1931,20603,3068,0,0,1,0,0,0.0,0,0,5,4,0,0,0,0,0,0,0,0,1,,
23,5588028006,0,0,0,0,0,300470,99176,201294,0,0,0,0,3986,1967,0,43000,0,0,0,1968,1968,15641,3162,0,0,1,0,0,0.0,0,0,4,3,0,0,0,0,0,0,0,0,0,0.0,0.0
24,5588034003,0,0,0,0,0,164605,88621,75984,0,0,0,0,2145,1967,0,58000,0,0,0,1956,1956,8408,1886,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,,
25,5591008012,1,0,0,0,0,76371,45123,31248,0,0,0,0,1074,1967,0,6000,0,0,0,1926,1926,4740,1170,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,1,,
26,5592012025,0,0,0,0,0,122558,57343,65215,0,0,0,0,1841,1967,0,42500,0,0,0,1929,1929,10619,2341,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
27,5592021003,1,0,0,0,0,120273,60033,60240,0,0,0,0,1693,1967,0,50000,0,0,0,1931,1931,8475,2234,0,0,1,0,0,0.0,0,0,4,2,0,0,0,0,0,0,0,0,0,,
28,5433012006,0,0,0,0,0,113884,43465,70419,0,0,0,0,1445,1968,0,40000,0,0,0,1956,1956,4746,1308,0,0,1,0,0,0.0,0,0,1,2,0,0,0,0,0,0,0,0,0,,
29,5580022005,0,0,0,0,0,169992,66047,103945,0,0,0,0,2310,1968,0,56000,0,0,0,1939,1939,8438,2708,0,0,1,0,0,0.0,0,0,5,4,0,0,0,0,0,0,0,0,0,,
30,5588014035,0,0,0,0,0,281219,97736,183483,0,0,0,0,3690,1968,0,0,0,0,0,1970,1970,14329,3792,0,0,1,0,0,0.0,0,0,6,4,0,0,0,0,0,0,0,0,0,,
31,5588020006,1,0,0,0,0,266651,62521,204130,0,0,0,0,3536,1968,0,38500,0,0,0,1946,1946,9950,3395,0,0,1,0,0,0.0,0,0,6,5,0,0,0,0,0,0,0,0,0,0.0,0.0
