,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
4895,5530020025,0,0,0,0,1,187442,124389,63053,0,0,0,34,2531,2002,0,140000,0,0,0,1962,1967,6360,729,0,0,4,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4896,4340023067,0,0,1,0,0,187976,65087,122889,0,0,0,65,2538,2000,0,147000,0,0,0,1974,1975,35306,740,0,0,60,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4897,5559004033,0,0,1,0,1,213472,84088,129384,0,0,0,61,2848,1993,0,148000,0,0,0,1951,1965,40729,939,0,0,4,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4898,5554025165,0,0,0,0,0,222096,36457,185639,0,1,7000,84,2855,1990,0,148500,0,0,0,1967,1967,9059,744,0,0,15,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4899,4340023114,0,0,0,0,0,216517,67299,149218,0,1,7000,69,2798,1998,0,166000,0,0,0,1974,1975,35306,937,0,0,60,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4900,5554025157,0,0,0,0,0,265572,43308,222264,0,1,7000,84,3377,1989,0,173500,0,0,0,1967,1967,9059,1063,0,0,15,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4901,5555004061,0,0,0,0,0,266335,113266,153069,0,1,7000,57,3392,1989,0,174000,0,0,0,1972,1975,16152,1219,0,0,28,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4902,5529004077,0,0,0,0,0,316943,130521,186422,0,1,7000,59,3994,1988,0,208000,0,0,0,1983,1983,5767,1351,0,0,5,0,0,0.0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4903,4339009163,0,0,0,0,0,428608,198997,229611,0,0,0,54,5383,1990,0,280000,0,0,0,1979,1979,11916,1378,0,0,10,0,0,0.0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4904,5554001021,0,0,1,1,1,149185,93399,55786,0,0,0,37,2080,2015,0,325000,0,0,0,1955,1955,14089,626,0,0,21,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4905,5554001031,0,0,1,0,1,335000,264700,70300,0,0,0,21,4253,2014,0,335000,0,0,0,1955,1965,14089,640,0,0,21,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4906,5554001022,0,0,0,0,1,346792,276618,70174,0,0,0,20,4392,2014,0,340000,0,0,0,1955,1955,14089,662,0,0,21,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4907,5528015095,0,0,1,0,1,346792,267846,78946,0,0,0,23,4389,2014,0,340000,0,0,0,1963,1963,11503,631,0,0,21,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4908,5559004038,0,0,0,0,0,434800,179035,255765,0,1,7000,59,5364,2000,0,340000,0,0,0,1951,1965,40729,1169,0,0,4,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4909,5554026137,1,0,0,0,1,380000,304000,76000,0,0,0,20,4785,2014,0,380000,0,0,0,1972,1976,6004,768,0,0,8,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4910,4340026030,0,0,1,0,1,419712,186550,233162,0,0,0,56,5259,2012,1,395000,0,0,0,1938,1965,11503,922,0,0,8,0,0,0.0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
4911,4340026039,0,0,1,0,1,15988,10659,5329,0,0,0,33,507,2012,1,395000,0,0,0,1938,1965,11503,136,0,0,8,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
4912,5554020126,0,0,0,0,1,429070,338746,90324,0,0,0,21,5363,2010,0,399500,0,0,0,1953,1959,14667,792,0,0,14,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4913,5560023104,0,0,0,0,1,423265,169306,253959,0,0,0,60,5320,2012,0,405000,0,0,0,1982,1982,20274,1432,0,0,22,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4914,5554020125,0,0,0,0,1,550904,440725,110179,0,1,7000,20,6716,2004,0,475000,0,0,0,1953,1959,14667,1056,0,0,14,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4915,4340023078,0,0,1,0,1,402000,296000,106000,0,0,0,26,5038,2016,0,485000,0,0,0,1974,1979,35306,710,0,0,60,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4916,5559003027,0,0,0,0,1,550000,440000,110000,0,0,0,20,6789,2014,0,550000,0,0,0,1937,1945,23856,997,0,0,4,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4917,5528015094,0,0,1,0,1,358175,213200,144975,0,0,0,40,4460,2015,0,550000,0,0,0,1963,1963,11503,1080,0,0,21,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4918,5554020124,0,0,0,0,1,490000,392200,97800,0,0,0,20,6002,2015,0,588000,0,0,0,1953,1959,14667,1003,0,0,14,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4919,5529004074,0,0,0,0,1,684279,525275,159004,0,0,0,23,8375,2004,0,590000,0,0,0,1983,1983,5767,1467,0,0,5,0,0,0.0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4920,5554020132,0,1,1,0,1,495000,395400,99600,0,0,0,20,6061,2015,0,637000,0,0,0,1953,1959,14667,1013,0,0,14,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4921,5559004009,0,1,1,0,1,630135,512305,117830,0,0,0,19,7729,2015,0,753000,0,0,0,1951,1965,40729,1158,0,0,10,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4922,5559004019,0,0,1,0,1,818663,408819,409844,0,0,0,50,9947,2013,0,799000,0,0,0,1951,1965,40729,1492,0,0,9,0,0,0.0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4923,5554023076,0,1,1,1,1,762190,543447,218743,0,0,0,29,9214,2015,0,1025000,0,0,0,1993,1993,9069,1750,0,0,8,0,0,0.0,0,0,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
