,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,IN LIEU OF FORC,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PARTNERSHIP,PERSONAL REP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
1017,4335005048,0,0,0,0,0,554967,317961,237006,0,0,0,43,6657,2016,0,0,0,0,0,1982,1982,11751,1709,0,0,12,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
1018,4335005049,1,0,0,0,0,675345,432227,243118,0,0,0,36,8173,0,0,0,0,0,0,1982,1982,11751,1662,0,0,12,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1019,4335005050,0,0,0,0,1,514988,234181,280807,0,1,7000,55,6181,2004,0,0,1,100000,1,1982,1982,11751,1709,0,0,12,0,0,1.0,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1020,4335005051,1,0,0,0,1,429406,137237,292169,0,0,0,68,5252,1995,0,306000,1,275400,1,1982,1982,11751,1908,0,0,12,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1021,4335005052,0,0,0,0,1,1025700,582900,442800,0,1,7000,43,12276,2007,0,1000000,1,600000,1,1982,1982,11751,1908,0,0,12,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1022,4335005053,1,0,0,0,0,455645,175005,280640,0,1,7000,62,5479,2000,0,0,0,0,0,1982,1982,11751,1841,0,0,12,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1023,4335005054,0,0,1,0,0,848269,554789,293480,0,0,0,35,10161,2016,0,0,0,0,0,1982,1982,11751,1908,0,0,12,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
1024,5511012032,1,0,0,0,0,404673,259526,145147,0,1,7000,36,4875,0,0,0,0,0,0,1983,1983,7506,1833,0,1,6,0,0,4.0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1025,5511012033,1,0,0,0,0,311187,93348,217839,0,1,7000,70,3760,1998,0,0,0,0,0,1983,1983,7506,1812,0,0,6,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1026,5511012034,0,0,0,0,0,286165,56737,229428,0,1,7000,80,3463,2004,0,0,0,0,0,1983,1983,7506,1833,0,0,6,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
