,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,Prediction,Actual
2710,5516001001,0,0,0,0,0,3801540,3041232,760308,0,0,0,0,45993,2016,0,3727000,1,870000,1,1922,1922,13794,6228,0,0,1,0,0,0.0,0,0,6,6,0,0,0,0,0,0,0,0,0,,
2711,5523028037,0,0,0,0,0,1812000,1449600,362400,0,0,0,0,21814,2016,0,1812000,1,1050000,1,1923,1923,6752,2411,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,1,1.0,1.0
2712,5522013005,0,0,1,0,0,1938000,1162800,775200,0,0,0,0,23535,2016,0,1900000,1,700000,1,2015,2015,5066,4982,0,0,4,0,0,0.0,0,0,11,9,0,0,0,0,0,0,0,0,0,,
2713,5516017011,0,0,1,0,0,845000,676000,169000,0,0,0,0,10297,2016,0,845000,1,600000,1,1913,1913,6001,2338,0,0,1,0,0,0.0,0,0,4,1,0,0,0,0,0,0,0,0,0,,
2714,5516001010,0,0,1,0,0,2940000,2352000,588000,0,0,0,0,35568,2016,0,2940000,0,0,0,1925,1925,12179,4027,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,,
2715,5523035032,0,0,0,0,0,1134600,907700,226900,0,0,0,0,13680,2016,0,1135000,1,794248,1,1921,1921,4997,1368,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.0,0.0
2716,5523027030,0,0,0,0,0,1759500,1290708,468792,0,0,0,0,21146,2016,0,1725000,1,1207500,1,1923,1923,6345,1813,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,,
2717,5524021017,0,0,0,0,0,2622420,1836000,786420,0,0,0,0,31668,2016,0,2571000,1,1928250,1,1926,1926,6348,2906,0,0,1,0,0,0.0,0,0,4,3,0,0,0,0,0,0,0,0,0,,
2718,5524021006,0,0,0,0,0,1810000,1448000,362000,0,0,0,0,21972,2016,0,1810000,1,1448000,1,1926,1926,6353,2840,0,0,1,0,0,0.0,0,0,4,3,0,0,0,0,0,0,0,0,0,,
2719,5515030015,0,0,0,0,0,3250000,2300000,950000,0,0,0,0,39281,2016,0,3250000,1,3250000,1,1931,1931,16636,5088,0,0,1,0,0,0.0,0,0,5,5,0,0,0,0,0,0,0,0,0,,
2720,5524033002,0,0,0,0,0,2799900,2208504,591396,0,0,0,0,33809,2016,0,2745000,1,1400000,1,1926,1926,10677,4113,0,0,1,0,0,0.0,0,0,5,3,0,0,0,0,0,0,0,0,0,,
2721,5523015026,0,0,0,0,0,1718700,1374960,343740,0,0,0,0,20556,2016,0,1685000,0,0,0,1921,1921,7005,1564,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
2722,5523009017,0,0,0,0,0,1998000,1598400,399600,0,0,0,0,24153,2016,0,1998000,1,1598400,1,1923,1923,7588,2333,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,,
2723,5516010025,0,0,1,0,0,5100000,3315000,1785000,0,0,0,0,61351,2016,0,5000000,0,0,0,1912,1912,12761,3271,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,1.0,0.0
2724,5516010022,0,0,0,0,0,1700000,1360000,340000,0,0,0,0,20636,2016,0,1700000,1,1150000,1,1914,1914,10207,3000,0,0,1,0,0,0.0,0,0,4,3,0,0,0,0,0,0,0,0,1,,
2725,5523034033,0,0,0,0,0,1274800,1019800,255000,0,0,0,0,15313,2016,0,1275000,1,1019840,1,1921,1921,4998,1096,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,1,1.0,1.0
2726,5523034008,0,0,0,0,0,1535840,1152192,383648,0,0,0,0,18577,2016,0,1412000,0,0,0,1923,1923,6738,1959,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,1,,
2727,5515008025,1,0,1,0,0,6987000,5589600,1397400,0,0,0,0,83774,2016,0,6850000,1,2850000,1,1954,1954,15713,4668,0,0,1,0,0,0.0,0,0,5,5,0,0,0,0,0,0,0,0,0,,
2728,5522027004,0,0,0,0,0,1450000,1160000,290000,0,0,0,0,17538,2016,0,1450000,1,1160000,1,1923,1923,7742,1546,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
2729,5523029012,1,0,0,0,0,2958000,1395258,1562742,0,0,0,0,35655,2016,0,2900000,1,2000000,1,2015,2015,6749,3907,0,0,1,0,0,0.0,0,0,4,5,0,0,0,0,0,0,0,0,0,,
2730,5515010005,0,0,0,0,0,5750000,4000000,1750000,0,0,0,0,69335,2016,0,5750000,1,4025000,1,1960,1960,20095,8163,0,0,1,0,0,0.0,0,0,5,5,0,0,0,0,0,0,0,0,0,,
