,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
19,5550008038,1,0,0,0,0,221235,66178,155057,0,1,7000,70,2686,2014,0,0,0,0,0,1960,1975,29167,1245,0,1,40,1,0,4.0,1,0,2,2,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,5550008058,0,0,1,0,1,665742,532597,133145,0,0,0,20,8076,2012,0,0,1,244000,1,1960,1975,29167,1467,0,1,40,1,0,4.0,1,0,2,2,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,5586029032,0,0,0,0,1,482762,338997,143765,0,1,7000,30,5769,2005,0,410000,1,328000,1,1963,1966,16217,1175,0,1,19,1,1,0.0,1,0,2,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
22,5586029035,0,0,1,1,1,542563,401615,140948,0,0,0,26,6566,2017,0,543000,1,407250,1,1963,1966,16217,1175,0,1,19,1,1,1.0,1,0,2,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,5586029047,0,0,0,0,1,212290,90900,121390,0,1,7000,57,2551,1998,0,157500,1,125900,1,1963,1966,16217,1307,0,1,19,1,1,1.0,1,0,2,2,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,5550008044,0,0,0,0,0,447981,297614,150367,0,0,0,34,5468,2011,0,0,0,0,0,1960,1975,29167,1157,0,1,40,1,1,4.0,1,0,2,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25,5548010031,1,0,0,0,0,195246,58568,136678,0,1,7000,70,2361,2005,0,0,0,0,0,1982,1998,7533,1374,0,1,6,1,1,2.0,1,0,2,3,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
26,5550019039,0,0,0,0,0,190921,57274,133647,0,1,7000,70,2285,2001,0,0,0,0,0,1968,1972,13301,1090,0,1,18,0,0,3.0,1,0,2,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
27,5544015052,0,0,0,0,1,222709,46047,176662,0,0,0,79,2745,2012,0,210000,1,188900,1,1980,1980,16155,979,0,1,18,1,1,1.0,1,0,1,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
28,5550019047,0,0,0,0,0,103777,1698,102079,0,0,0,98,1317,1985,0,60500,0,0,0,1968,1972,13301,775,1,1,18,1,1,0.0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
