,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,IN LIEU OF FORC,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PARTNERSHIP,PERSONAL REP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
41,5070008017,0,0,0,0,1,624139,471954,152185,0,1,7000,24,7555,2013,0,600000,1,480000,1,1923,1925,6408,1446,1,1,0,0,0,1.0,1,1,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
42,5085003030,0,0,0,0,1,400949,320763,80186,0,0,0,20,4973,2000,0,315000,0,252000,0,1924,1926,5750,1464,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,5070008030,0,0,1,0,1,897500,597500,300000,0,0,0,33,10889,2015,0,898000,1,704000,1,1923,1923,6911,1182,1,1,1,0,0,1.0,1,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
44,5070007016,0,0,0,0,1,759517,536019,223498,0,1,7000,29,9170,2013,0,0,1,491000,1,1923,1923,6407,1494,1,1,0,0,0,1.0,1,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
45,5070007020,0,0,0,0,0,771252,593926,177326,0,0,0,23,9413,2017,0,0,0,0,0,1923,1948,6407,1945,1,1,0,0,0,1.0,1,1,3,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46,5070009007,0,0,0,0,0,569979,513042,56937,0,0,0,10,6984,2006,0,0,0,0,0,1923,1923,6911,1136,1,1,0,1,1,1.0,1,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
47,5070009010,0,0,0,0,1,643942,499570,144372,0,1,7000,22,7803,2010,0,595000,1,450000,1,1923,1923,6911,1629,1,1,0,0,0,1.0,1,1,2,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
48,5084029004,0,0,0,0,0,236030,188831,47199,0,1,7000,20,2915,1997,0,175000,1,140000,1,1923,1923,6073,1184,0,0,0,1,1,1.0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
49,5084029011,0,0,0,0,1,399059,307538,91521,0,1,7000,23,4871,2003,0,0,1,264000,1,1923,1923,6640,1418,1,1,0,1,1,1.0,1,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
50,5070005003,0,0,0,0,0,55904,29177,26727,0,1,7000,48,792,1999,0,0,0,0,0,1923,1932,6917,1568,1,1,0,0,0,1.0,1,1,3,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
51,5070005005,0,0,0,0,1,851000,674000,177000,0,0,0,21,10343,2010,0,832500,1,616000,1,1923,1963,6916,1373,1,1,0,0,0,1.0,1,1,2,2,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
52,5070008002,0,0,0,0,1,52644,34325,18319,0,1,7000,35,725,2005,0,0,0,0,0,1923,1923,5761,1263,1,1,0,1,1,1.0,1,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53,5070008007,0,0,0,0,1,219582,142115,77467,0,1,7000,35,2762,2009,0,0,1,360000,1,1923,1928,6403,2120,0,1,0,1,1,1.0,1,0,3,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
54,5070005036,0,0,0,0,1,188030,131065,56965,0,1,7000,30,2351,1996,0,134091,1,107200,1,1923,1924,6408,1302,1,1,0,1,1,1.0,1,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
